l1,l2Code,l2Name,l3Code,l3Name,l4Code,l4Name,channels
,,,use_bill_mobile,휴대폰 결제/콘텐츠 이용료,use_bill_mobile_01,휴대폰 결제 내역 조회,T월드
,,,,,use_bill_mobile_02,콘텐츠 이용료 내역 조회,T월드
,,,,,use_bill_mobile_03,결제 차단/해제,T월드
,,,,,use_bill_mobile_04,콘텐츠 이용료 자동 선결제 설정/변경,T월드
,,,use_pay_method,납부 방법 관리,use_pay_method_01,납부 방법 조회/변경/자동납부 신청·해지,T월드
,,,,,use_pay_method_02,통합청구 신청/해제,T월드
,,,,,use_pay_method_03,법인/개인 분리청구 관리,T월드
,,,use_pay_do,요금 납부,use_pay_do_01,카드/계좌이체/입금전용계좌 납부,T월드
,,,use_pay_hist,납부 내역/미환급금,use_pay_hist_01,요금 납부 내역 조회,T월드
,,,,,use_pay_hist_03,미납 요금 조회,T월드
,,,,,use_pay_hist_02,미환급금 조회,T월드
,,,use_pay_welfare,요금감면/복지할인,use_pay_welfare_01,장애인/국가유공자/기초생활 복지할인 신청,T월드
,,,,,use_pay_welfare_02,다자녀 할인 신청,T월드
,use_data,데이터/통화 관리,use_data_remain,데이터/통화 현황 조회,use_data_remain_01,실시간 잔여량 조회,T월드
,,,,,use_data_remain_02,최근 사용량 조회,T월드
,,,,,use_data_remain_03,자녀 잔여량/T가족모아 데이터 현황 조회,T월드
,,,use_data_charge,데이터 충전,use_data_charge_01,리필 쿠폰 사용,T월드
,,,,,use_data_charge_02,선불 쿠폰 구매/등록,T월드
,,,,,use_data_charge_03,팅요금제 충전,T월드
,,,,,use_data_charge_04,T가족모아 데이터 충전/신청,T월드
,,,use_data_gift,데이터 선물/조르기,use_data_gift_01,T끼리 데이터 선물/조르기,T월드
,,,,,use_data_gift_02,리필 쿠폰 선물,T월드
,,,,,use_data_gift_03,선불 쿠폰 구매/선물/조르기/관리,T월드
,,,,,use_data_gift_04,팅요금제 선물,T월드
,use_info,나의 가입정보 관리,use_info_mobile,이동전화 가입 정보,use_info_mobile_01,기본가입정보,T월드
,,,,,use_info_mobile_02,약정할인/기기 할부 정보,T월드
,,,,,use_info_mobile_03,나의 요금제/부가서비스,T월드
,,,,,use_info_mobile_04,나의 혜택/할인,T월드
,,,,,use_info_mobile_05,납부/청구 정보,T월드
,,,use_planchg,요금제 변경 관리,use_planchg_01,약정 만료 사전 알림,T월드
,,,,,use_planchg_02,요금제 변경 가능일 조회,T월드
,,,,,use_planchg_03,이용 중 요금제 조회,T월드
,,,,,use_planchg_04,요금제 비교,T월드
